Date,000001.SS,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^MXX,^N225,^NSEI
2025-02-10,3322.169921875,8482.7998046875,125572.0,8767.7998046875,21911.740234375,6066.43994140625,25658.900390625,21521.98046875,52928.12109375,38801.171875,23381.599609375
2025-02-11,3318.056884765625,8484.0,126522.0,8777.400390625,22037.830078125,6068.5,25631.80078125,21294.859375,53451.640625,,23071.80078125
2025-02-12,3346.385009765625,8535.2998046875,124380.0,8807.400390625,22148.029296875,6051.97021484375,25563.099609375,21857.919921875,54065.71875,38963.69921875,23045.25
2025-02-13,3332.48291015625,8540.0,124850.0,8764.7001953125,22612.01953125,6115.06982421875,25698.5,21814.369140625,54160.109375,39461.46875,23031.400390625
2025-02-14,3346.72412109375,8555.7998046875,128219.0,8732.5,22513.419921875,6114.6298828125,25483.19921875,22620.330078125,54077.94140625,39149.4296875,22929.25
2025-02-17,3355.830078125,8505.7998046875,128869.0,8768.0,22798.08984375,,,22616.23046875,54291.640625,39174.25,22959.5
2025-02-18,3324.490966796875,8481.0,128532.0,8766.7001953125,22844.5,6129.580078125,25648.80078125,22976.810546875,54476.73828125,39270.3984375,22945.30078125
2025-02-19,3351.5390625,8419.2001953125,127309.0,8712.5,22433.630859375,6144.14990234375,25626.19921875,22944.240234375,54096.51171875,39164.609375,22932.900390625
2025-02-20,3350.782958984375,8322.7998046875,127601.0,8663.0,22314.650390625,6117.52001953125,25514.099609375,22576.98046875,54303.9296875,38678.0390625,22913.150390625
2025-02-21,3379.113037109375,8296.2001953125,127128.0,8659.400390625,22287.560546875,6013.1298828125,25147.0,23477.919921875,53738.75,38776.94140625,22795.900390625
2025-02-24,3373.028076171875,8308.2001953125,125401.0,8659.0,22425.9296875,5983.25,25151.30078125,23341.609375,53704.44921875,,22553.349609375
2025-02-25,3346.0400390625,8251.900390625,125980.0,8668.7001953125,22410.26953125,5955.25,25204.0,23034.01953125,53050.328125,38237.7890625,22547.55078125
2025-02-26,3380.214111328125,8240.7001953125,124769.0,8731.5,22794.109375,5956.06005859375,25328.400390625,23787.9296875,53296.7109375,38142.37109375,
2025-02-27,3388.06201171875,8268.2001953125,124799.0,8756.2001953125,22550.890625,5861.56982421875,25128.19921875,23718.2890625,52607.609375,38256.171875,22545.05078125
2025-02-28,3320.89697265625,8172.39990234375,122799.0,8809.7001953125,22551.4296875,5954.5,25393.5,22941.3203125,52325.73046875,37155.5,22124.69921875
2025-03-03,3316.925048828125,8245.7001953125,,8871.2998046875,23147.01953125,5849.72021484375,25001.599609375,23006.26953125,52081.58984375,37785.46875,22119.30078125
2025-03-04,3324.2099609375,8198.099609375,,8759.0,22326.810546875,5778.14990234375,24572.0,22941.76953125,52384.71875,37331.1796875,22082.650390625
2025-03-05,3341.965087890625,8141.10009765625,123047.0,8755.7998046875,23081.029296875,5842.6298828125,24870.80078125,23594.2109375,52709.3984375,37418.23828125,22337.30078125
2025-03-06,3381.097900390625,8094.7001953125,123358.0,8682.7998046875,23419.48046875,5738.52001953125,24584.0,24369.7109375,52816.4296875,37704.9296875,22544.69921875
2025-03-07,3372.5458984375,7948.2001953125,125035.0,8679.900390625,23008.939453125,5770.2001953125,24758.80078125,24231.30078125,52839.62890625,36887.171875,22552.5
2025-03-10,3366.1630859375,7962.2998046875,124519.0,8600.2001953125,22620.94921875,5614.56005859375,24380.69921875,23783.490234375,51726.87890625,37028.26953125,22460.30078125
2025-03-11,3379.827880859375,7890.10009765625,123507.0,8496.0,22328.76953125,5572.06982421875,24248.19921875,23782.140625,51510.6796875,36793.109375,22497.900390625
2025-03-12,3371.924072265625,7786.2001953125,123864.0,8541.0,22676.41015625,5599.2998046875,24423.30078125,23600.310546875,52041.01171875,36819.08984375,22470.5
2025-03-13,3358.72900390625,7749.10009765625,125637.0,8542.599609375,22567.140625,5521.52001953125,24203.19921875,23462.650390625,51877.12109375,36790.03125,22397.19921875
